Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
-598,2,50,-299,-3025.5,0.607224958949097,-39.2775041050903,0,64
-14330.008,36,25,-398.055777777778,-19874.292,0.383561022735788,-79.0823407300206,0,65
-1334,2,50,-667,-2202.75,0.247496826963757,-75.2503173036243,0,66
-23542.334,62,35.4838709677419,-379.715064516129,-25302.334,0.474341276371569,-100,0,67
-36421.259,69,24.6376811594203,-527.844333333333,-36909.831,0.323355161032282,-100,0,68
0,0,0,0,0,0,0,0,69
-31990.109,122,32.7868852459016,-262.214008196721,-35692.251,0.584865660247246,-92.671180163603,0,70
-12544.31,107,38.3177570093458,-117.236542056075,-17640.81,0.780415277243543,-79.9427643325919,0,71
-1622.948,8,12.5,-202.8685,-4652.948,0.609348496136085,-51.6128498806633,0,72
-5339.293,34,29.4117647058824,-157.038029411765,-13946.077,0.714985343289029,-44.4160951635199,0,73
-9945,69,39.1304347826087,-144.130434782609,-13302.5,0.684060042887777,-82.020618556701,0,74
-3884.822,6,0,-647.470333333333,-5339.822,0,-100,0,75
913.745,13,23.0769230769231,70.2880769230769,-3978.038,1.18714680008455,28.1074731066533,0,76
-2394.064,3,0,-798.021333333333,-3186.876,0,-100,0,77
-8677.015,35,28.5714285714286,-247.914714285714,-14266.969,0.541936373134807,-68.8959281838407,0,78
5431.071,3,66.6666666666667,1810.357,-2837.5,9.79525668016194,879.525668016194,0,79
-10798.392,56,33.9285714285714,-192.828428571429,-16277.382,0.693883085896865,-73.1002181283314,0,80
-1791.563,2,50,-895.7815,-3059.063,0.00555073566675159,-99.4449264333248,0,81
4923.739,57,42.1052631578947,86.3813859649123,-9072.501,1.17794268987571,74.4751485006393,0,82
449.725,38,34.2105263157895,11.8348684210526,-6016.34,1.02951192535086,8.27242941694111,0,83
5208.5,5,80,1041.7,-3401.5,4.05304806565064,305.304806565064,0,84
-495.988,17,35.2941176470588,-29.1757647058824,-6687.771,0.941918766980535,-8.61156509085681,0,85
4785.982,1,100,4785.982,-3302.5,0,0,0,86
-3898.047,30,46.6666666666667,-129.9349,-7926.969,0.595668435103232,-69.2216511633111,0,87
-30357.5,265,33.5849056603774,-114.556603773585,-33490,0.670394397546212,-93.0926096289482,0,88
-6946.077,12,33.3333333333333,-578.83975,-10101.786,0.203594927600289,-100,0,89
-7833.228,42,28.5714285714286,-186.505428571429,-11248.849,0.688502150934826,-73.0759557344064,0,90
1130.803,4,25,282.70075,-3081.161,1.66350542103849,66.3505421038488,0,91
-2863.575,7,28.5714285714286,-409.082142857143,-5006.965,0.442903858832987,-72.2766354574056,0,92
-25316.981,44,18.1818181818182,-575.385931818182,-25765.373,0.415596806598985,-100,0,93
673.213,5,40,134.6426,-3347.5,2.10427232942504,159.745295174276,0,94
-8797.875,22,36.3636363636364,-399.903409090909,-12186.5,0.553588644205399,-77.2141344771977,0,95
-12179.247,53,35.8490566037736,-229.797113207547,-19341.564,0.611176220595858,-69.6129014742215,0,96
-3810.283,31,38.7096774193548,-122.91235483871,-11220.718,0.828142455804432,-40.5769183256885,0,97
-1119.287,5,40,-223.8574,-4209.644,0.598770667511697,-40.1229332488303,0,98
-130.893,1,0,-130.893,-632.5,0,-100,0,99
-35137.5,252,36.1111111111111,-139.434523809524,-37290,0.595120124445469,-95.9189244523306,0,100
-2517.866,34,38.2352941176471,-74.0548823529412,-7141.075,0.820113483140528,-46.9258310628633,0,101
-7639.377,9,22.2222222222222,-848.819666666667,-8178.841,0.0962470134679641,-100,0,102
-15108.667,43,23.2558139534884,-351.364348837209,-16978.933,0.414021791392202,-100,0,103
1072.657,120,40.8333333333333,8.93880833333333,-8007.234,1.02607191158208,14.6106348763992,0,104
-7278.575,14,21.4285714285714,-519.898214285714,-11722.859,0.384828818771939,-68.7097761435243,0,105
2429.062,2,100,1214.531,-2837.5,0,0,0,106
-21009.125,51,27.4509803921569,-411.94362745098,-23220.75,0.355033922760484,-94.390686337828,0,107
-11339.379,12,16.6666666666667,-944.94825,-12339.379,0.00988544690272325,-99.7361333455416,0,108
-14160.996,37,29.7297297297297,-382.729621621622,-14460.996,0.347613120696582,-100,0,109
0,0,0,0,0,0,0,0,110
-9457.5,47,42.5531914893617,-201.223404255319,-13050,0.634210017404757,-86.2713797035348,0,111
0,0,0,0,0,0,0,0,112
0,0,0,0,0,0,0,0,113
-34865.323,154,30.5194805194805,-226.398201298701,-38268.89,0.565584847769769,-92.6742020962011,0,114
-16979.671,74,36.4864864864865,-229.455013513514,-19717.972,0.59815524122335,-95.2364849630006,0,115
-24249.838,47,19.1489361702128,-515.954,-26026.084,0.233682995321548,-100,0,116
-325,1,0,-325,-1527.5,0,-100,0,117
-5072,6,0,-845.333333333333,-5988,0,-100,0,118
-15137.703,39,33.3333333333333,-388.146230769231,-20462.292,0.414952670064166,-87.1745209064877,0,119
-1276.5,4,25,-319.125,-3113.75,0.197800471327573,-80.2199528672427,0,120
-18660,55,30.9090909090909,-339.272727272727,-20865,0.444560202411073,-100,0,121
-11425.005,10,20,-1142.5005,-12305.358,0.248302117543522,-100,0,122
-12508.356,36,30.5555555555556,-347.454333333333,-13493.98,0.415454826103695,-100,0,123
-18645.281,72,36.1111111111111,-258.962236111111,-22677.513,0.565012401917257,-92.051460162486,0,124
-16547.375,67,32.8358208955224,-246.975746268657,-21171.75,0.572700804379543,-91.1010942123735,0,125
-7415.631,50,28,-148.31262,-14148.754,0.726338425207404,-59.0357539143783,0,126
-8086.438,67,38.8059701492537,-120.693104477612,-12675.717,0.779528109924831,-72.8086097144978,0,127
-13608.852,51,33.3333333333333,-266.840235294118,-14571.352,0.565184695791802,-100,0,128
136.75,2,100,68.375,-2669.875,0,0,0,129
-30890.642,81,35.8024691358025,-381.365950617284,-31690.017,0.515215254862318,-100,0,130
-20233.286,41,31.7073170731707,-493.494780487805,-21058.097,0.327414545324964,-100,0,131
-4207.335,38,36.8421052631579,-110.719342105263,-12544.019,0.820570501989858,-42.6533545809269,0,132
3455.123,6,50,575.853833333333,-8085.594,2.63165062857634,229.485704645475,0,133
-2501.412,21,38.0952380952381,-119.114857142857,-10055.783,0.845648456945511,-33.9829607801235,0,134
-38029,71,28.169014084507,-535.619718309859,-38745.5,0.402196040210958,-100,0,135
-2571.713,38,23.6842105263158,-67.6766578947368,-8701.699,0.88600614988327,-35.995400696474,0,136
-18673.5,75,33.3333333333333,-248.98,-21515,0.593384758597038,-91.7008372823925,0,137
-10216.25,23,39.1304347826087,-444.184782608696,-16938.125,0.474337535374325,-67.3645167937358,0,138
-218.215,3,33.3333333333333,-72.7383333333333,-3170.715,0.901068361052992,-14.9389169002851,0,139
-22092.509,58,27.5862068965517,-380.905327586207,-23103.044,0.473776527053211,-99.3395725349227,0,140
-5832.149,17,23.5294117647059,-343.067588235294,-7604.648,0.351301662491723,-89.303308057917,0,141
-36051.802,58,27.5862068965517,-621.582793103448,-38688.23,0.298989243571367,-100,0,142
-2542.5,8,37.5,-317.8125,-5665,0.54127198917456,-54.8691664418667,0,143
-1058.218,9,44.4444444444444,-117.579777777778,-2054.646,0.613839646557258,-69.116058400835,0,144
-15715.732,44,25,-357.175727272727,-15801.892,0.41912516081426,-100,0,145
-1218.215,2,0,-609.1075,-3089.287,0,-100,0,146
-15711.5,44,29.5454545454545,-357.079545454545,-17154.5,0.53038318986131,-97.9245224220138,0,147
0,0,0,0,0,0,0,0,148
-25337.829,110,32.7272727272727,-230.3439,-27509.391,0.608929485164031,-98.0079549514678,0,149
