Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (RandomLongTrades)
33667.5,4739,54.8216923401562,7.10434690863051,-14597.5,1.11506322624744,238.691953208082,0,1
29275,5469,53.6661181203145,5.35289815322728,-11680,1.08568585268765,269.87785203964,0,2
21247.5,2451,55.2427580579355,8.66891064871481,-16232.5,1.1014503133393,136.486269471656,0,3
19557.5,3741,53.5685645549318,5.22788024592355,-7457.5,1.10457717295404,279.093828041384,0,4
29275,5469,53.6661181203145,5.35289815322728,-11680,1.08568585268765,269.87785203964,0,5
30030,4739,54.4418653724414,6.33677991137371,-14365,1.09606064968092,214.614972306593,0,6
38137.5,7109,53.776902517935,5.36467857645238,-11295,1.09671406744308,375.553914327917,0,7
46682.5,7109,53.5659023772683,6.5666760444507,-12780,1.12986841373171,380.615572768039,0,8
21935,4182,54.0650406504065,5.24509803921569,-12162.5,1.06998149566105,196.374216651746,0,9
45262.5,2539,55.7699881843245,17.8269003544703,-10112.5,1.19521899463026,503.19622012229,0,10
47625,2293,55.3423462712604,20.7697339729612,-8832.5,1.25937776567499,607.849393746012,0,11
45577.5,3554,55.0084411930219,12.8242824985931,-13235,1.16021477972775,356.491982792335,0,12
26387.5,6463,53.5974005879622,4.08285625870339,-11937.5,1.06857235666721,224.526696447564,0,13
14237.5,3741,53.0072173215718,3.80580058807805,-10835,1.08217063211508,134.094655050624,0,14
41982.5,10156,52.8259157148484,4.1337632926349,-11085,1.0893715307529,388.367252543941,0,15
32222.5,2843,55.6102708406613,11.3339781920507,-10422.5,1.12166894793977,321.101145989038,0,16
16740,3949,53.7857685489997,4.23904786021778,-13430,1.06250991887527,138.921161825726,0,17
16945,2633,54.0448157994683,6.43562476262818,-9345,1.08077220997438,201.24703087886,0,18
24527.5,3949,53.4818941504178,6.21106609268169,-11245,1.0773854126407,234.65678067448,0,19
19722.5,2154,53.899721448468,9.15622098421541,-12040,1.10223944428605,175.038828489017,0,20
27455,2962,54.2876434841323,9.26907494935854,-9120,1.14386208522735,310.576923076923,0,21
18810,2031,54.849827671098,9.26144756277696,-15070,1.09884782637256,128.505550811272,0,22
16140,3231,53.3580934695141,4.99535747446611,-8680,1.10013649336146,191.459074733096,0,23
48392.5,3554,54.9521665728756,13.6163477771525,-11930,1.15431158871501,420.347448425624,0,24
41242.5,4739,54.5895758598861,8.70278539776324,-11087.5,1.15264399722415,382.051875868458,0,25
13092.5,2451,55.5691554467564,5.34169726642187,-19335,1.06501793983637,69.7522642514651,0,26
26387.5,6463,53.5974005879622,4.08285625870339,-11937.5,1.06857235666721,224.526696447564,0,27
22402.5,3091,54.3513426075704,7.24765448075057,-13325,1.090625,176.850207223209,0,28
35190,4739,55.4969402827601,7.42561721882254,-13415,1.10299336352794,283.105390185036,0,29
34797.5,3231,54.5961002785515,10.7698854843702,-10397.5,1.12406521022185,392.748306997743,0,30
18805,5924,53.8656313301823,3.17437542201215,-10242.5,1.05699823443384,193.020272004106,0,31
30095,3091,54.9013264315755,9.73633128437399,-14577.5,1.10863052266821,216.199712643678,0,32
20657.5,2633,54.8803646031143,7.84561336878086,-9845,1.09043251762028,232.106741573034,0,33
8035,3949,53.3552798176754,2.03469232717144,-14635,1.04164830892834,58.8860388420667,0,34
29152.5,4739,53.513399451361,6.15161426461279,-9332.5,1.12254227135636,315.845070422535,0,35
26290,6463,53.8294909484759,4.06777038527,-11180,1.07388307700955,268.470768445239,0,36
47557.5,3554,55.7962858750703,13.3814012380416,-13940,1.16183451584911,350.719026548673,0,37
37510,5078,53.7219377707759,7.38676644348169,-11455,1.12128462763421,341.232658630885,0,38
15792.5,3949,53.5831856166118,3.9991136996708,-13765,1.05350125347246,120.599465444826,0,39
28695,2843,54.3088287020753,10.0932113964122,-6805,1.14637132254486,445.920745920746,0,40
36457.5,6463,54.3091443602042,5.64095621228532,-11110,1.08948217781078,344.019815994338,0,41
42365,5078,54.3127215439149,8.34285151634502,-12382.5,1.14719013289325,355.262054507338,0,42
37467.5,4739,54.9694028276008,7.90620384047267,-12425,1.1051756201972,324.464169733709,0,43
33950,3385,54.4756277695716,10.0295420974889,-13817.5,1.12684475994769,259.556574923547,0,44
30622.5,4443,54.2201215395003,6.89230249831195,-11477.5,1.09937046711989,273.781850692892,0,45
23227.5,3554,53.7985368598762,6.53559369724254,-7812.5,1.12972271089889,324.406424581006,0,46
32222.5,2843,55.6102708406613,11.3339781920507,-10422.5,1.12166894793977,321.101145989038,0,47
33667.5,4739,54.8216923401562,7.10434690863051,-14597.5,1.11506322624744,238.691953208082,0,48
28627.5,3231,54.2865985762922,8.8602599814299,-8737.5,1.11741604716739,359.529042386185,0,49
24397.5,3385,53.3234859675037,7.20753323485967,-6800,1.13153000161734,385.274378207659,0,50
27720,4182,54.1846006695361,6.62840746054519,-8977.5,1.11171113081325,368.249750913318,0,51
19275,2451,55.3651570787434,7.8641370869033,-15857.5,1.09394877293885,126.517886445684,0,52
17302.5,2633,53.9308773262438,6.57140144322066,-8407.5,1.08593779102254,240.898016011138,0,53
26220,3741,54.7981823041967,7.00882117080994,-11885,1.09247780197688,227.900912646675,0,54
24527.5,3949,53.4818941504178,6.21106609268169,-11245,1.0773854126407,234.65678067448,0,55
28257.5,3741,54.1566426089281,7.55346164127239,-8125,1.11549701626747,386.824093086927,0,56
36530,3385,54.7415066469719,10.7917282127031,-14362.5,1.12698467875796,263.65932876218,0,57
21565,2221,55.020261143629,9.70959027465106,-15355,1.10647279549719,148.749784445594,0,58
29722.5,4443,53.8374971865856,6.68973666441594,-8997.5,1.11530739910966,350.088339222615,0,59
17352.5,2633,54.3486517280668,6.59039118875807,-9895,1.07865155807365,183.043248945148,0,60
27307.5,5469,53.4649844578534,4.99314317059792,-12147.5,1.08505618240007,234.449452672247,0,61
38655,2539,55.6912170145727,15.2244978337928,-9747.5,1.1715978958116,434.692156311498,0,62
27555,5469,53.2638507953922,5.03839824465167,-9627.5,1.10842555703113,297.570194384449,0,63
44497.5,3554,55.1772650534609,12.520399549803,-11297.5,1.16210382513661,405.906499429875,0,64
33345,3231,54.7508511296812,10.3203342618384,-10760,1.11054476739849,326.831658907131,0,65
31000,2451,55.609955120359,12.6478988168095,-16552.5,1.1333505398546,193.689472039987,0,66
9270,2734,54.3891733723482,3.39063643013899,-16855,1.04021473889702,56.1988481357987,0,67
11347.5,4182,53.610712577714,2.71341463414634,-10602.5,1.0556768558952,122.279094827586,0,68
27425,7899,52.4876566654007,3.47195847575642,-11180,1.06658816102559,253.758963682628,0,69
26667.5,4182,54.0172166427547,6.37673362027738,-8530,1.09517054325812,326.707503828484,0,70
