Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EdgeFinder)
32502.5,3124,54.3213828425096,10.4041293213828,-14495,1.10986327299768,239.649769585253,0,1
16382.495,1648,55.0364077669903,9.94083434466019,-10806.429,1.11785331557141,156.114025547533,0,2
28602.455,3118,54.3938422065427,9.17333386786402,-11642.144,1.11679118239865,250.741596669596,0,3
9787,1429,53.7438768369489,6.84884534639608,-6266.75,1.12483060116259,163.409441916768,0,4
9973.5,1589,55.3807426054122,6.2765890497168,-9884.75,1.07118996124114,105.682269728999,0,5
17361.25,1721,55.8396281231842,10.0878849506101,-11246.25,1.11444274155007,163.188814475385,0,6
3878.174,2163,52.7045769764216,1.79296070272769,-4860.008,1.03894572213141,89.5944565743971,0,7
10008.639,1280,53.359375,7.81924921875,-6245.538,1.12829398910791,170.227831868228,0,8
7581.883,1670,53.4131736526946,4.5400497005988,-8083.095,1.07683075325326,110.206769521122,0,9
15746.5,2871,54.9285963079067,5.48467432950192,-13502.875,1.06737760491046,119.732727566509,0,10
18770.625,2094,54.3935052531041,8.96400429799427,-10458.625,1.12891127000329,185.139750212677,0,11
26772.741,3368,54.8990498812352,7.94915112826603,-7720.629,1.1131903524629,402.257111987462,0,12
33002.5,3815,54.4692005242464,8.65072083879423,-13432.5,1.12093146819835,250.778875379939,0,13
34012.78,1753,55.4478037649743,19.4026126640046,-8057.46,1.2467603024072,445.050154008003,0,14
4291.5,1574,56.1626429479034,2.72649301143583,-11046.5,1.02934599762032,41.9091796875,0,15
5152.5,2331,52.6812526812527,2.21042471042471,-6755,1.04849183567832,77.7149321266968,0,16
27298.556,2167,56.8527918781726,12.5973954776188,-10871.965,1.13719319585262,269.672418599569,0,17
26601.25,1992,54.1666666666667,13.3540411646586,-4025,1.24667331231454,765.503597122302,0,18
14765.783,1274,52.9042386185243,11.5900965463108,-4305,1.1714024018396,363.537285031355,0,19
23801.416,2094,53.9159503342884,11.3664832855778,-7407.188,1.14692183396898,335.245943202011,0,20
18442.375,2305,54.70715835141,8.00103036876356,-11352.375,1.11177933697145,172.119366768161,0,21
48449.493,3151,55.315772770549,15.3759101872421,-14022.957,1.18037412016716,361.820218949451,0,22
30187.791,2006,55.6331006979063,15.0487492522433,-10448.63,1.20240940332958,311.418849285562,0,23
17827,1999,54.1270635317659,8.91795897948974,-4717.5,1.17231396770623,436.508325171401,0,24
15091.125,2620,54.5801526717557,5.7599713740458,-13722.875,1.0853750898981,114.128924307308,0,25
7530,1882,54.0913921360255,4.00106269925611,-8295,1.06973836536235,95.8625079567155,0,26
-2396.834,1454,53.1636863823934,-1.64844154057772,-14056.796,0.9832916709213,-17.4714463846034,0,27
23767.741,4235,53.1050767414404,5.61221747343566,-6171.082,1.12820143875967,413.633863909356,0,28
13396.848,2047,54.3722520762091,6.54462530532487,-15310.596,1.06897470620893,94.3487573035373,0,29
22358.043,1582,57.0164348925411,14.1327705436157,-11087.752,1.16458547320231,208.461703277461,0,30
23544.994,3378,55.0621669626998,6.97009887507401,-15255,1.07821948474738,169.205849802372,0,31
24627.464,4153,53.9609920539369,5.93004189742355,-11624.286,1.08836571889488,239.816711697386,0,32
21102.5,1371,53.9022611232677,15.392049598833,-8203.75,1.19939998110177,272.422139745038,0,33
23316.25,1781,53.9023020774846,13.0916619876474,-3763.75,1.19741549012552,652.887644382219,0,34
17772.418,1182,53.7225042301184,15.0358866328257,-8265.457,1.18405495255353,229.826934250378,0,35
2145.675,1999,53.1765882941471,1.07337418709355,-6919.651,1.020490264781,31.6604278110374,0,36
28632.375,1988,55.5835010060362,14.4026031187123,-8683.125,1.1943340343959,369.063079030049,0,37
37750.134,2918,54.7978067169294,12.9369890335846,-10932.501,1.1485606606856,364.735558962748,0,38
7099.5,2010,53.7810945273632,3.53208955223881,-7826.375,1.06359949206406,98.9735993726584,0,39
14005.865,2065,55.3510895883777,6.78250121065375,-8992.859,1.10317530779371,168.687255799478,0,40
5931.375,2522,52.1808088818398,2.35185368754956,-5969.25,1.04851453565053,102.234239669065,0,41
23052.5,2801,53.9807211710104,8.23009639414495,-15404.25,1.09810461584292,155.342913458785,0,42
7474.513,1700,54.0588235294118,4.39677235294118,-7855.01,1.08501215315113,97.442079782821,0,43
4252.5,1141,53.1989482909728,3.72699386503067,-6362.5,1.04930720621485,69.2026037428804,0,44
26934.878,4967,52.5870746929736,5.42276585464063,-8614.294,1.13101437185285,347.274549656295,0,45
7985,1426,53.3660589060309,5.59957924263675,-6945,1.08563232258237,129.311740890688,0,46
15485,2131,53.4021586109808,7.26654152979822,-8942.5,1.09854270077638,197.072860324531,0,47
26881.668,6814,53.8156736131494,3.94506427942471,-12774.288,1.07105744149444,215.065594136242,0,48
31595.22,3326,54.6301864101022,9.49946482260974,-10985.363,1.12702851608906,308.843125402241,0,49
-389.086,1295,54.5173745173745,-0.30045250965251,-16680.902,0.996803960228795,-2.35939792741476,0,50
17172,1577,56.4362714013951,10.8890298034242,-5665.5,1.14522175028066,329.202012940331,0,51
5065,1795,54.150417827298,2.82172701949861,-7732.25,1.05893732454801,68.3789530527524,0,52
29929.17,1682,55.1129607609988,17.7937990487515,-6097.101,1.21614524999625,508.085023163242,0,53
18844.664,1844,55.7483731019523,10.2194490238612,-8921.876,1.11647539072164,223.121005254715,0,54
7053.478,1354,53.7666174298375,5.20936336779911,-6599.563,1.08461483897345,110.433825374824,0,55
11463.75,4311,52.5864068661563,2.65918580375783,-13657.5,1.04419801636642,90.8019801980198,0,56
16028.734,1284,55.7632398753894,12.483437694704,-10651.563,1.15183307833371,167.069301087558,0,57
15110,2304,55.1215277777778,6.55815972222222,-6640.875,1.10781315359718,238.511473727827,0,58
29484.993,3948,53.6727456940223,7.46833662613982,-13025,1.09219858652795,227.244647398844,0,59
24343.91,1854,54.1531823085221,13.1304800431499,-5781.52,1.15709701860261,477.891920330113,0,60
24478.5,4723,52.9112852000847,5.18282871056532,-9677.5,1.0958237017696,268.942785728019,0,61
29145.569,4079,52.6599656778622,7.14527310615347,-8992.149,1.14256539385346,332.345901187151,0,62
31694.64,2144,55.6436567164179,14.782947761194,-8332.509,1.17124779579782,408.731991795091,0,63
17909.025,2786,54.4508255563532,6.42822146446518,-11518.44,1.08322508332941,157.256173804314,0,64
