Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EdgeFinder)
10657.54,1805,55.7894736842105,5.90445429362881,-10016.005,1.09581974221291,110.572542111043,0,159
5568.801,2072,52.6061776061776,2.68764527027027,-9581.449,1.05017306496863,59.9254655096661,0,160
601.25,184,54.3478260869565,3.26766304347826,-3441.875,1.04812646955826,18.5320747447505,0,161
10792.5,2993,53.5248914132977,3.60591379886402,-12898.75,1.05696096056473,88.0930517294154,0,162
1003.75,440,53.1818181818182,2.28125,-6196.25,1.03785593060532,16.9159469138403,0,163
16032.2,1490,54.7651006711409,10.7598657718121,-4998.782,1.2010482493853,337.905140722499,0,164
18557.5,1126,56.1278863232682,16.4809058614565,-3292.5,1.32912122018267,616.528239202658,0,165
17319.482,1525,53.0491803278689,11.3570373770492,-4126.157,1.24113098044645,570.699378077239,0,166
-155,15,40,-10.3333333333333,-1207.5,0.872950819672131,-15.8974358974359,0,167
2095.06,1059,50.6137865911237,1.97833805476865,-7088.79,1.04173106910822,32.7264814635176,0,168
20201.875,2084,55.3262955854127,9.69379798464491,-4754.375,1.16883700279454,457.638397281608,0,169
18387.502,2221,55.4705087798289,8.27892931112112,-4685.815,1.14922872193435,451.325614674125,0,170
-862.511,401,52.6184538653367,-2.15090024937656,-6914.292,0.961936857472009,-12.9568566961383,0,171
6502.5,1343,54.2069992553984,4.84177215189874,-5921.25,1.08021588280648,113.013252226809,0,172
15557.066,2336,50.6849315068493,6.6597029109589,-5229.298,1.18375150787924,309.768919777816,0,173
5032.164,1481,48.4807562457799,3.39781498987171,-3402.2,1.11527900309271,155.929722359941,0,174
-3058.25,1158,43.7823834196891,-2.64097582037997,-5644,0.859510301582562,-56.9347482081355,0,175
3735,1361,47.9059515062454,2.7443056576047,-4175.25,1.10650280157972,90.704875235262,0,176
14419.173,2120,52.122641509434,6.80149669811321,-4467.78,1.1532309053857,337.719875978027,0,177
-2641,576,48.7847222222222,-4.58506944444444,-9537,0.938513474186601,-28.6147678639146,0,178
24533.5,3097,55.892799483371,7.9216984178237,-11036.5,1.10990431222169,229.360071051278,0,179
695.125,2492,44.6629213483146,0.278942616372392,-4569.75,1.01690694945245,15.3288494404322,0,180
15553.581,2443,52.5173966434711,6.36659066721244,-7564.311,1.13791715543569,222.317972435202,0,181
3310.125,1778,47.7502812148481,1.8617125984252,-5449.25,1.05272116969682,63.9730395709523,0,182
-2984.6,2254,44.7648624667258,-1.32413487133984,-7461.904,0.929328603500671,-42.2334872526923,0,183
2383.549,186,52.6881720430108,12.8147795698925,-3554.066,1.20148436869318,75.2129807331245,0,184
17351.625,1358,54.4182621502209,12.7773379970545,-4613.625,1.26322745804494,465.050755469195,0,185
9670,2866,52.4075366364271,3.37404047452896,-9665,1.07041202319883,104.23066558879,0,186
20433.812,2490,55.3012048192771,8.20635020080321,-5588.217,1.13687290521121,390.570037952579,0,187
24701.412,2857,55.7577878893945,8.64592649632482,-11164.084,1.13399869411361,228.102506176884,0,188
10184.042,1817,55.0357732526142,5.604866263071,-3930.626,1.13999222540492,283.826209001579,0,189
22176.206,2997,55.8224891558225,7.39946813480147,-10342.82,1.10359807448585,221.699540729514,0,190
17379.133,2298,51.0008703220191,7.56272106179286,-6605.988,1.20398999211325,273.536882417973,0,191
13328.75,2850,50.9824561403509,4.67675438596491,-9192.5,1.13143751694894,149.049482806821,0,192
25740,1782,53.7598204264871,14.4444444444444,-4292.5,1.31085079403418,787.155963302752,0,193
2234.368,274,55.4744525547445,8.15462773722628,-3345.664,1.14984267768891,74.2690983740605,0,194
6958.507,1263,52.9691211401425,5.50950673000792,-3461.983,1.1400800777724,212.344922143325,0,195
14965.25,616,56.8181818181818,24.294237012987,-6014.25,1.33821684840951,296.97375601528,0,196
2590.959,1160,45.0862068965517,2.23358534482759,-3850.459,1.11810441735288,72.4650737150111,0,197
13614.375,2882,52.4288688410826,4.72393303261624,-8040,1.09900238609249,180.322847682119,0,198
23405.78,2066,56.6311713455954,11.329031945789,-5758.949,1.18876381804097,434.646110877954,0,199
2014,192,56.25,10.4895833333333,-2632,1.15477425552353,85.7203660353267,0,200
10665,2974,51.3113651647613,3.58607935440484,-10527.5,1.10291421403069,104.099560761347,0,201
-325.5,319,51.7241379310345,-1.02037617554859,-6094,0.984376499952001,-5.75698620445702,0,202
8795.317,2377,53.0079932688263,3.70017543121582,-8649.644,1.07368464907759,108.992627184049,0,203
3077.236,1045,52.0574162679426,2.94472344497608,-3965.884,1.06638366283776,79.445673344032,0,204
