Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_EdgeFinder)
13495,2221,55.065285907249,6.07609185051778,-17370,1.07177427933199,80.4950790337012,0,1
21025,2843,53.0073865634893,7.39535701723532,-5005,1.15021880860945,439.853556485356,0,2
34582.5,3554,54.3612830613393,9.73058525604952,-12087.5,1.12983246515557,300.390879478827,0,3
33802.5,1653,57.8342407743497,20.4491833030853,-9360,1.23627372173488,388.646162690428,0,4
24067.5,2293,54.5137374618404,10.4960750109027,-4860,1.2436845036197,535.130628126737,0,5
-1040,2451,53.6515707874337,-0.424316605467156,-14430,0.991361588138796,-7.44186046511628,0,6
21992.5,2369,55.9729843815956,9.28345293372731,-8507.5,1.13300172356445,307.910395519776,0,7
25440,1512,55.8201058201058,16.8253968253968,-7562.5,1.18515283842795,363.169164882227,0,8
17352.5,2633,54.3486517280668,6.59039118875807,-9895,1.07865155807365,183.043248945148,0,9
13187.5,2091,53.4672405547585,6.30679100908656,-6930,1.1143705823685,231.970096745822,0,10
29215,5078,53.643166601024,5.75324931075227,-10670,1.11605227615794,281.658230899012,0,11
6110,2734,53.0358449158742,2.23482077542063,-15385,1.04371623797088,40.6114988368229,0,12
47660,3385,55.3028064992615,14.0797636632201,-11037.5,1.15442939537295,478.273958855996,0,13
1805,2451,54.3043655650755,0.736434108527132,-20007.5,1.0096753011806,9.27067282999486,0,14
18652.5,2369,53.9890249050232,7.87357534824821,-5155,1.17660843630166,385.183273102736,0,15
45030,3949,55.2798176753609,11.4028868067865,-12092.5,1.13407970938975,402.592758158248,0,16
29202.5,2962,54.2876434841323,9.85904794058069,-9715,1.14499211796979,310.41722030295,0,17
32500,1870,55.4010695187166,17.379679144385,-6222.5,1.20224019912881,562.283737024221,0,18
16395,2962,51.9581363943282,5.53511141120864,-6730,1.09432713882976,255.672514619883,0,19
28257.5,3741,54.1566426089281,7.55346164127239,-8125,1.11549701626747,386.824093086927,0,20
23050,2031,54.2589857213195,11.3490891186608,-8875,1.17677058169408,276.544691061788,0,21
18397.5,3554,54.6145188519978,5.17656162070906,-6095,1.1106134167055,342.438343415542,0,22
17302.5,2633,53.9308773262438,6.57140144322066,-8407.5,1.08593779102254,240.898016011138,0,23
36297.5,4443,54.5127166329057,8.16959261760072,-11185,1.12506137215212,345.279429250892,0,24
20560,1870,55.0267379679144,10.9946524064171,-4682.5,1.15925022268696,505.159705159705,0,25
19610,1823,55.1289083927592,10.7569939659901,-12470,1.13988408381632,162.569948186529,0,26
30030,4739,54.4418653724414,6.33677991137371,-14365,1.09606064968092,214.614972306593,0,27
12822.5,3231,54.4413494274218,3.96858557722067,-8015,1.07281477590539,164.91961414791,0,28
28587.5,2633,54.8803646031143,10.8573870110141,-8440,1.12411809399761,357.34375,0,29
16925,2154,54.2246982358403,7.85747446610956,-6755,1.12352436732534,261.996904024768,0,30
25912.5,2843,54.1329581428069,9.11449173408371,-4097.5,1.17393274265002,662.300319488818,0,31
8005,2091,52.9890004782401,3.82831181252989,-7320,1.05613309257928,114.031339031339,0,32
14130,3091,54.2219346489809,4.57133613717244,-8957.5,1.08164090712119,165.214849459222,0,33
35537.5,3949,53.9883514813877,8.9991136996708,-11260,1.1090207687824,326.106905253499,0,34
28047.5,3231,54.7818012999072,8.68074899411947,-8137.5,1.12042851468994,371.121402580218,0,35
10387.5,2221,53.8946420531292,4.67694732102656,-8455,1.08284979362326,127.767527675277,0,36
13632.5,3091,53.9307667421546,4.4103849886768,-8950,1.08470153310862,160.523991757433,0,37
10387.5,2221,53.8946420531292,4.67694732102656,-8455,1.08284979362326,127.767527675277,0,38
13945,2539,54.3914927136668,5.49231981094919,-6080,1.10208638360176,250.922177237967,0,39
19185,3091,54.4160465868651,6.20672921384665,-12500,1.08042002012072,162.001266624446,0,40
22825,2154,53.6675951717734,10.5965645311049,-9642.5,1.15466711841437,274.009603841537,0,41
48092.5,2293,55.4295682511993,20.9736153510685,-9147.5,1.24808490882361,606.462799495586,0,42
23032.5,3385,54.4165435745938,6.80428360413589,-10985,1.09625852827784,222.482492151654,0,43
29562.5,3741,53.9962576851109,7.90229885057471,-7975,1.13036911271829,403.033401499659,0,44
36857.5,3741,54.557604918471,9.85231221598503,-11852.5,1.12272129455441,343.499534016775,0,45
23227.5,3554,53.7985368598762,6.53559369724254,-7812.5,1.12972271089889,324.406424581006,0,46
17485,2154,54.2246982358403,8.11745589600743,-12885,1.09478634447802,147.615027437737,0,47
48392.5,3554,54.9521665728756,13.6163477771525,-11930,1.15431158871501,420.347448425624,0,48
17527.5,3091,54.1895826593335,5.6704949854416,-10547.5,1.07807610499237,176.911430734292,0,49
22722.5,3385,53.1757754800591,6.71270310192024,-7847.5,1.13451832995397,304.89768534049,0,50
43140,3741,55.4397219994654,11.5316760224539,-12195,1.13320159323185,387.94964028777,0,51
27542.5,1823,55.3483269336259,15.1083379045529,-10797.5,1.18779510781556,273.918448533068,0,52
32265,3231,54.2556484060662,9.98607242339833,-10700,1.11767924063791,350.040683482506,0,53
48392.5,3554,54.9521665728756,13.6163477771525,-11930,1.15431158871501,420.347448425624,0,54
48392.5,3554,54.9521665728756,13.6163477771525,-11930,1.15431158871501,420.347448425624,0,55
17252.5,3949,54.3935173461636,4.36882755127881,-13720,1.06860727529402,131.422586174062,0,56
31077.5,4182,53.8737446197991,7.43125298900048,-11275,1.09648101580206,306.484220907298,0,57
19777.5,2091,55.0932568149211,9.4583931133429,-11172.5,1.11169311571695,182.533456391324,0,58
