Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
-406,1,0,-406,-662.5,0,-100,0,215
-405.25,7,71.4285714285714,-57.8928571428571,-2495,0.753965242467937,-27.3332771267178,0,376
-367.5,1,0,-367.5,-662.5,0,-100,0,379
-358.929,1,0,-358.929,-662.5,0,-100,0,237
-356.787,4,50,-89.19675,-3915,0.816923400587016,-22.3265933933904,0,86
-298.036,1,0,-298.036,-662.5,0,-100,0,452
-253.439,3,33.3333333333333,-84.4796666666667,-1061.657,0.415071477698127,-58.4928522301873,0,464
-213.068,20,65,-10.6534,-4199.75,0.966104369677261,-6.34898499316733,0,248
-167.833,84,64.2857142857143,-1.9980119047619,-16778.13,0.995292079148208,-1.11159144025646,0,297
-166.25,6,66.6666666666667,-27.7083333333333,-3765,0.947555205047319,-6.36363636363636,0,355
-160.536,1,0,-160.536,-470,0,-100,0,385
-138,2,50,-69,-703.5,0.622950819672131,-37.7049180327869,0,213
-95.625,10,50,-9.5625,-2555.5,0.927639046538025,-8.37621811015,0,434
-77.501,3,66.6666666666667,-25.8336666666667,-1245.001,0.832946420680751,-16.7053579319249,0,460
0,0,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,312
0,0,0,0,0,0,0,0,326
0,0,0,0,0,0,0,0,331
0,0,0,0,0,0,0,0,343
0,0,0,0,0,0,0,0,370
0,0,0,0,0,0,0,0,456
0,0,0,0,0,0,0,0,477
74.999,3,66.6666666666667,24.9996666666667,-1065.001,1.21041778306479,21.041778306479,0,483
77.499,3,66.6666666666667,25.833,-882.501,1.3210012053233,32.1001205323304,0,306
79.999,3,33.3333333333333,26.6663333333333,-747.501,1.53332311117926,53.3323111179259,0,270
173.908,54,66.6666666666667,3.22051851851852,-15722.506,1.00729283045004,1.22990046821762,0,374
188.169,124,66.9354838709677,1.51749193548387,-15235.013,1.00431657924154,1.31131348217498,0,246
197.754,35,60,5.65011428571429,-4665.179,1.02938743702448,6.35171777166655,0,239
217.5,4,75,54.375,-1239.375,1.48535564853556,48.5355648535565,0,233
226.25,6,66.6666666666667,37.7083333333333,-3915,1.07637130801688,9.40748440748441,0,244
245.713,4,75,61.42825,-3915,1.13917190020481,13.917190020481,0,219
302.499,3,66.6666666666667,100.833,-845.001,2.53999154910935,153.999154910935,0,473
340,70,60,4.85714285714286,-4852.5,1.02461805806965,7.88771604222248,0,1
356.25,39,64.1025641025641,9.13461538461539,-3733.75,1.03447441635418,12.0253164556962,0,67
363.5,3,66.6666666666667,121.166666666667,-782,1.75258799171843,75.2587991718427,0,279
386,3,66.6666666666667,128.666666666667,-560.5,5.04188481675393,404.188481675393,0,165
386,3,66.6666666666667,128.666666666667,-560.5,5.04188481675393,404.188481675393,0,203
397.25,7,71.4285714285714,56.75,-2495,1.28741973410509,42.5948264307734,0,226
397.5,4,75,99.375,-997.5,1.831589958159,83.1589958158996,0,44
433.213,4,75,108.30325,-3915,1.27365960091874,27.3659600918741,0,84
482.5,4,75,120.625,-774.375,3.95785440613027,295.785440613027,0,453
536.785,1,100,536.785,-1855,0,0,0,281
546.964,1,100,546.964,-485,0,0,0,423
547.856,4,75,136.964,-916.072,2.73137101845912,173.137101845912,0,378
566.139,65,69.2307692307692,8.70983076923077,-13470.809,1.0220781446183,4.67145574102659,0,304
589.999,3,66.6666666666667,196.666333333333,-1028.572,2.37551669390505,137.551669390505,0,33
684.464,1,100,684.464,-485,0,0,0,495
772.856,4,75,193.214,-755.001,9.22808717222583,822.808717222583,0,174
856.25,39,66.6666666666667,21.9551282051282,-5201.875,1.08192309992226,19.255094869993,0,26
891.243,17,70.5882352941177,52.4260588235294,-2988.75,1.32954490831092,46.4318442899454,0,210
974.086,50,48,19.48172,-3198.93,1.14350018495747,57.1788989748623,0,34
1011.597,23,56.5217391304348,43.9824782608696,-4053.172,1.1226283716538,28.1568012264778,0,415
1048.5,50,62,20.97,-8379,1.07948601319081,13.8206023858169,0,14
1160.337,46,63.0434782608696,25.2247173913043,-4039.465,1.10028990056811,34.0577904381172,0,482
1229.559,10,80,122.9559,-3470,1.63652049399282,65.2848742284463,0,245
1262,73,63.013698630137,17.2876712328767,-4852.5,1.09195904834772,29.2773460155434,0,269
1428.194,46,58.695652173913,31.0476956521739,-4101.254,1.12250716136368,47.501788558613,0,79
1428.194,46,58.695652173913,31.0476956521739,-4101.254,1.12250716136368,47.501788558613,0,114
1459.625,41,65.8536585365854,35.6006097560976,-4479.625,1.15327566517465,38.0259215839521,0,59
1496.942,49,63.265306122449,30.5498367346939,-4039.465,1.12744184676435,43.9376982152737,0,201
1631.068,8,75,203.8835,-1855,3.30539320792479,427.020276726925,0,479
1645.625,12,75,137.135416666667,-3915,1.59181838615419,79.8604792235366,0,69
1668.111,85,62.3529411764706,19.6248352941176,-11933.753,1.06736269071651,14.4503351726254,0,359
