Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_EdgeFinder)
16919.375,2051,55.0463188688445,8.24932959531936,-8425,1.1064655680969,214.508716323296,0,1
13648.521,1473,54.7182620502376,9.2657983706721,-5446.602,1.1260587147035,273.703836801092,0,2
33853.5,2236,54.4275491949911,15.140205724508,-11776.25,1.17696943084203,307.584327086882,0,3
23761.652,2609,55.9218091222691,9.10757071674971,-8427.308,1.15853123708229,298.548921931367,0,4
17040.5,1493,54.2531815137307,11.4135967849967,-4854.75,1.16203546323524,414.106925880923,0,5
21138.409,2513,54.2777556705133,8.41162315957024,-11402.5,1.10620610378353,193.841439706557,0,6
25632.98,5412,52.8270509977827,4.73632298595713,-15734.273,1.0909112724228,166.6722477714,0,7
25631.91,2407,55.0893228084753,10.6489031990029,-12806.781,1.1333618920531,216.453166968719,0,8
14492.14,1199,57.1309424520434,12.0868557130942,-12459.238,1.127216065868,126.494469891866,0,9
19520.025,1943,54.9665465774575,10.0463329902213,-8819.284,1.13797892852402,261.162473890476,0,10
3704.026,1817,54.3203082003302,2.03853935057788,-15278.822,1.02543371125636,25.3373767051819,0,11
36321.5,2727,54.8221488815548,13.3192152548588,-3835.5,1.27630788190456,999.766033581063,0,12
12942.731,2450,55.1836734693878,5.28274734693878,-15403.199,1.0665052188053,85.2999489428696,0,13
29438.189,2981,53.6732640053673,9.87527306273063,-11717.022,1.13826502703001,264.981598668242,0,14
21646.961,1251,57.9536370903277,17.3037258193445,-9406.499,1.17319165627071,259.120943155488,0,15
33050,2724,55.6901615271659,12.132892804699,-10585,1.13588939713214,347.894736842105,0,16
1221.25,2022,55.3907022749753,0.603981206726014,-8268.125,1.01113802832958,15.1755203479341,0,17
24030,1698,54.7114252061249,14.1519434628975,-6915.625,1.16445457695121,412.090032154341,0,18
11451.82,1537,55.4326610279766,7.450761223162,-4606.157,1.11003148360379,276.703771295858,0,19
23211.015,2136,54.9625468164794,10.8665800561798,-10773.743,1.13989059912518,233.482020306716,0,20
25666.25,6360,53.3176100628931,4.03557389937107,-12842,1.07541749033453,206.316191394867,0,21
37793.5,1499,56.9046030687125,25.2124749833222,-9881,1.2873997635008,456.250377255991,0,22
18728.309,1459,57.162440027416,12.8364009595613,-6280.394,1.16453956429908,324.699257649326,0,23
20243.144,1590,54.0880503144654,12.7315371069182,-8692.806,1.17869481767529,260.519263977506,0,24
31922.5,2838,55.8139534883721,11.2482381959126,-9020,1.15824957553074,381.733931240658,0,25
1431.636,5336,52.3613193403298,0.2682976011994,-14826.389,1.00544687925712,9.83184776539862,0,26
28383.375,3217,55.952751010258,8.82293285669879,-14324.125,1.10303061102719,215.121313463379,0,27
14086.25,4280,53.3177570093458,3.29117990654206,-11384.75,1.06518032316577,129.287992473784,0,28
9823.954,1326,55.8069381598793,7.40871342383107,-5366.068,1.14139038143386,200.752375362925,0,29
7778.895,1296,54.9382716049383,6.0022337962963,-12699.273,1.06684322602085,62.82537242445,0,30
21557.349,4988,53.869286287089,4.3218422213312,-13940.922,1.068788773471,166.329727819159,0,31
36882.962,2868,54.5676429567643,12.8601680613668,-8223.391,1.17210532673931,492.934904272325,0,32
-9089,2732,52.3792093704246,-3.32686676427526,-17436.5,0.950278041428583,-53.0001749373141,0,33
25135.677,2691,54.5893719806763,9.34064548494983,-10213.213,1.1123398007643,261.946944432373,0,34
17792.5,1338,55.3811659192825,13.2978325859492,-6862.5,1.16661204232606,282.644956314535,0,35
23179.738,2256,54.8758865248227,10.2747065602837,-8695,1.14671022680512,291.47737189563,0,36
14727.5,2162,54.7641073080481,6.81197964847364,-11815,1.08568602638507,128.093063709502,0,37
19916.341,4310,53.1322505800464,4.62096078886311,-6824.015,1.09883727009444,310.633929734236,0,38
21532.023,1560,56.9230769230769,13.8025788461538,-9207.141,1.1553613314905,247.433625816911,0,39
46166.5,2512,55.8519108280255,18.3783837579618,-10670,1.20528389308598,480.388127259957,0,40
26819.401,1463,57.8263841421736,18.3317846889952,-9674.815,1.21161714267805,297.58614739942,0,41
14852.5,2200,54.0454545454545,6.75113636363636,-9478.5,1.12426842481771,163.017231917462,0,42
11463,1382,55.8610709117221,8.294500723589,-13322,1.09111213556735,88.5549847425548,0,43
7955.669,2458,52.6444263628967,3.23664320585842,-10604.683,1.05331916996801,79.6787339167403,0,44
35361.976,2713,54.5521562845558,13.0342705492075,-10631.559,1.14216586607621,349.114093509171,0,45
14613.958,1367,55.9619604974396,10.6905325530358,-12510.262,1.11397526899574,129.898823689617,0,46
37811.601,2308,55.1993067590988,16.3828427209705,-8553.122,1.20428697819178,459.820503696771,0,47
15475.49,1397,55.6907659269864,11.077659269864,-9411.777,1.15624695214506,173.554749658986,0,48
8281.875,1299,54.657428791378,6.37557736720554,-12007.5,1.07106999195495,75.0849954669084,0,49
19027.5,1369,54.5653761869978,13.8988312636961,-10022.5,1.14297253634895,219.400403574517,0,50
18517.892,1477,54.637779282329,12.5375030467163,-9818.21,1.13378013664755,213.964926786663,0,51
36299.75,5307,54.0041454682495,6.83997550405125,-12613.25,1.12824948406167,294.085836388309,0,52
19640.863,2359,54.3026706231454,8.32592751165748,-11406.421,1.11995298611426,187.997544653198,0,53
38834.472,3074,55.30253741054,12.6332049446975,-9980,1.16020048603347,452.748143398426,0,54
19190,1485,56.1616161616162,12.9225589225589,-4008,1.26584332352641,528.577330946151,0,55
23723.202,4554,54.852876592007,5.20931093544137,-10845.612,1.07568594344507,241.442487246596,0,56
