Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
49994.264,166,67.4698795180723,301.170265060241,-10670,1.97894693639827,655.700143824655,0,67
38410,215,70.2325581395349,178.651162790698,-14890,1.61031222690077,300.078125,0,68
43500.11,295,66.1016949152542,147.458,-10355,1.56003621300866,496.010376282782,0,69
40490.735,176,65.9090909090909,230.060994318182,-11652.5,1.7977516421387,448.384654117218,0,70
43709.291,214,68.6915887850467,204.249023364486,-10302.5,1.67855389947701,486.199010011123,0,71
47072.5,136,70.5882352941177,346.121323529412,-13000,2.11473565804274,424.076576576577,0,72
41023.236,210,68.5714285714286,195.348742857143,-16531.605,1.62776029962524,271.423521273671,0,73
46181.441,270,65.5555555555556,171.042374074074,-13631.071,1.6350053413448,399.629259806382,0,74
17189.455,111,58.5585585585586,154.859954954955,-9274.194,1.44645157788236,209.207299485059,0,75
38410,215,70.2325581395349,178.651162790698,-14890,1.61031222690077,300.078125,0,76
45645.557,204,69.1176470588235,223.752730392157,-14624.464,1.71791921318839,363.507906847547,0,77
46512.5,158,67.0886075949367,294.382911392405,-10337.5,1.92599044395779,583.961079723792,0,78
37491,295,63.3898305084746,127.08813559322,-11915.5,1.47692708896507,381.539244370945,0,79
44645,273,66.3003663003663,163.534798534799,-10875,1.57933495539335,464.44733420026,0,80
35091.811,81,75.3086419753086,433.232234567901,-12223.392,2.18190160478058,500.928518520052,0,81
43825,177,64.9717514124294,247.598870056497,-14322.5,1.75148969005873,346.922620225609,0,82
43825,177,64.9717514124294,247.598870056497,-14322.5,1.75148969005873,346.922620225609,0,83
40331.945,245,66.9387755102041,164.620183673469,-12470.937,1.5946319692375,387.890448016387,0,84
42011,143,71.3286713286713,293.783216783217,-13405,1.77441772583574,378.136813681368,0,85
42272.5,376,63.563829787234,112.426861702128,-14245,1.46874393590774,370.974111452391,0,86
38449.289,166,65.6626506024096,231.622222891566,-14897.5,1.7231752460567,344.604875644186,0,87
37890.72,248,67.3387096774194,152.785161290323,-13937.5,1.53995439075257,329.269780577884,0,88
37462.17,154,67.5324675324675,243.260844155844,-15132.32,1.72993923715013,294.113439875892,0,89
44230.5,188,70.7446808510638,235.268617021277,-13992.5,1.79965468614406,438.794642857143,0,90
39097.5,209,66.0287081339713,187.069377990431,-16053,1.62964513765309,308.875809764576,0,91
