Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomDirectionalTrades)
-8265,143,38.4615384615385,-57.7972027972028,-17432.5,0.842511432926829,-55.4791072327572,0,440
-8285,77,37.6623376623377,-107.597402597403,-12500,0.705317446203094,-77.3215118992067,0,305
-8307.5,56,23.2142857142857,-148.348214285714,-12582.5,0.717696032622547,-67.0771094065402,0,227
-8307.5,56,23.2142857142857,-148.348214285714,-12582.5,0.717696032622547,-67.0771094065402,0,322
-8307.5,56,23.2142857142857,-148.348214285714,-12582.5,0.717696032622547,-67.0771094065402,0,390
-8322.5,53,37.7358490566038,-157.028301886792,-15990,0.683042940112349,-56.8282690337999,0,451
-8372.5,97,39.1752577319588,-86.3144329896907,-11425,0.74439016943978,-85.0863821138211,0,71
-8597.5,150,36.6666666666667,-57.3166666666667,-22965,0.861475872069604,-38.6578237410072,0,151
-8597.5,150,36.6666666666667,-57.3166666666667,-22965,0.861475872069604,-38.6578237410072,0,310
-8597.5,150,36.6666666666667,-57.3166666666667,-22965,0.861475872069604,-38.6578237410072,0,352
-8642.5,143,38.4615384615385,-60.4370629370629,-19420,0.833558016369764,-49.89896073903,0,13
-8642.5,143,38.4615384615385,-60.4370629370629,-19420,0.833558016369764,-49.89896073903,0,375
-8715,66,34.8484848484849,-132.045454545455,-11545,0.718530480419863,-82.3724007561437,0,210
-8750,43,34.8837209302326,-203.488372093023,-9872.5,0.668999432570456,-95.5500955500955,0,236
-8777.5,53,33.9622641509434,-165.61320754717,-15807.5,0.717219716494845,-57.946855916818,0,413
-8797.5,50,28,-175.95,-16982.5,0.653471196454948,-55.7509505703422,0,5
-8822.5,56,33.9285714285714,-157.544642857143,-11367.5,0.621554959785523,-84.9747170719961,0,29
-8822.5,56,33.9285714285714,-157.544642857143,-11367.5,0.621554959785523,-84.9747170719961,0,88
-8822.5,56,33.9285714285714,-157.544642857143,-11367.5,0.621554959785523,-84.9747170719961,0,491
-8837.5,56,30.3571428571429,-157.8125,-13217.5,0.617755190311419,-67.7332822379766,0,260
-8975,57,26.3157894736842,-157.456140350877,-14765,0.655304848775804,-64.3023464087408,0,135
-9097.5,51,31.3725490196078,-178.382352941176,-12990,0.70512924398347,-74.4628606507059,0,275
-9127.5,56,32.1428571428571,-162.991071428571,-12337.5,0.633874849578821,-76.3967357187696,0,201
-9582.5,52,38.4615384615385,-184.278846153846,-10652.5,0.603126941395734,-100,0,246
-9625,97,39.1752577319588,-99.2268041237113,-13115,0.71195570851414,-82.2122571001495,0,340
-9647.5,88,39.7727272727273,-109.630681818182,-17442.5,0.784497682470542,-59.6721818462966,0,200
-9777.5,66,30.3030303030303,-148.143939393939,-12542.5,0.688961348815015,-83.6756525459991,0,161
-9817.5,43,34.8837209302326,-228.313953488372,-10687.5,0.588709677419355,-100,0,182
-9817.5,55,29.0909090909091,-178.5,-11777.5,0.499872643912379,-85.7798165137615,0,249
-9825,107,37.3831775700935,-91.8224299065421,-20917.5,0.728516164686377,-49.2172824045085,0,223
-9857.5,70,31.4285714285714,-140.821428571429,-19277.5,0.697692248715786,-53.8293515358362,0,265
-10030,107,41.1214953271028,-93.7383177570093,-20850,0.740491591203105,-49.2753623188406,0,422
-10102.5,62,30.6451612903226,-162.943548387097,-10560,0.60366810513927,-100,0,488
-10115,150,38,-67.4333333333333,-22782.5,0.824559882057064,-48.7176399759181,0,195
-10150,88,37.5,-115.340909090909,-14772.5,0.716994284121009,-73.1663362768066,0,217
-10180,49,30.6122448979592,-207.755102040816,-15800,0.582358974358974,-78.0226096953439,0,67
-10180,49,30.6122448979592,-207.755102040816,-15800,0.582358974358974,-78.0226096953439,0,316
