Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EdgeFinder)
3591.875,1732,51.5011547344111,2.07383083140878,-7390.625,1.05106084298813,54.3965925224799,0,1
-4997.5,2854,52.2074281709881,-1.7510511562719,-9394,0.949639997783051,-55.4877033253761,0,2
2378,2027,51.5046867291564,1.17316230883078,-9731,1.02130700272834,24.8549777893912,0,3
675,337,53.4124629080119,2.00296735905045,-3060,1.0350603817686,25.5198487712665,0,4
7748.594,2599,53.1358214697961,2.98137514428626,-5730.505,1.089454877353,145.773430746467,0,5
12128.5,2683,52.5158404770779,4.52049944092434,-7147.5,1.07644116988992,179.362614611062,0,6
4193.75,2042,50.7345739471107,2.05374632713026,-6055.5,1.04460060194195,74.3210314119888,0,7
9601.564,2191,53.445915107257,4.38227476038339,-4313.573,1.13413731456581,245.02705449152,0,8
-377.77,61,54.0983606557377,-6.19295081967213,-1037.5,0.868151344121955,-43.2840267195252,0,9
8986.916,2218,52.795311091073,4.05181064021641,-5982.59,1.08576052013101,174.162001050369,0,10
16270.625,3105,53.4621578099839,5.24013687600644,-12491.875,1.08069720800617,134.976927464095,0,11
19567.812,3068,53.2920469361147,6.37803520208605,-6262.145,1.14201918779819,328.338550366674,0,12
16432.091,3063,54.1952334312765,5.36470486451192,-11373.219,1.12543681648497,148.932881691191,0,13
410,1791,49.9720826353992,0.22892238972641,-4827.5,1.00494795595112,10.1422387136673,0,14
4394.711,2042,51.3712047012733,2.15216013712047,-7614.698,1.03878041644611,59.1147962429841,0,15
16006.623,3085,51.9611021069692,5.18853257698541,-15252.5,1.08542965231613,108.025125695968,0,16
3901.25,2072,50.8204633204633,1.88284266409266,-7629.5,1.03762099350281,52.8660478352192,0,17
-1170.549,1295,49.6525096525097,-0.903898841698842,-4101.631,0.978721401934237,-30.2926841765975,0,18
21442,3105,53.4299516908213,6.90563607085346,-11864.5,1.10727141288388,185.733466152713,0,19
13113.831,3061,53.3159098333878,4.28416563214636,-4291.876,1.1427380939151,322.256557270697,0,20
6508.75,4641,51.2605042016807,1.40244559362206,-8717.5,1.04264327715264,78.8342165026495,0,21
2325.935,632,48.2594936708861,3.68027689873418,-3313.125,1.06152300568437,78.6286921614198,0,22
-10024.5,2353,50.9137271568211,-4.26030599235019,-10537,0.883823750970598,-96.4404252248785,0,23
-494.034,2246,50.4452359750668,-0.219961709706144,-8626.724,0.996014032222799,-5.926310323198,0,24
13332.5,2151,50.0697350069735,6.19827986982799,-3632.5,1.129997074883,379.843304843305,0,25
15715.056,4748,51.9165964616681,3.30982645324347,-5230.014,1.09192713624347,353.742567268248,0,26
8412.746,2169,52.83540802213,3.87862886122637,-6536.787,1.07342692102294,132.03118685543,0,27
1584.375,1906,50.1049317943337,0.831256558237146,-9832.375,1.01570151391086,16.3835892663254,0,28
-4333.982,2019,49.2818226844973,-2.14659831599802,-9244.645,0.959520635282463,-49.7464401705894,0,29
18532.25,2963,52.0418494768815,6.25455619304759,-11827.25,1.10602148061646,162.645632665599,0,30
11697.321,3090,51.5210355987055,3.78554077669903,-14615,1.06251323900758,82.1441081460674,0,31
6290.25,1793,52.0356943669827,3.50822643614055,-6767.375,1.07607060740691,98.0457866536776,0,32
5733.5,2184,52.3809523809524,2.62522893772894,-4583,1.07365324460945,137.148666427461,0,33
12784.548,2435,52.9774127310062,5.25032772073922,-9016.614,1.09284704194117,147.642680301934,0,34
3731.944,2017,51.5617253346554,1.85024491819534,-5441.657,1.05761942306405,70.7926179567449,0,35
-4679,2855,52.2241681260946,-1.63887915936953,-9391.5,0.952768622779878,-51.9657929808974,0,36
