Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_EdgeFinder)
18594.33,1626,54.6125461254613,11.4356273062731,-10302.5,1.14799691945191,198.657371794872,0,68
25775.025,984,56.6056910569106,26.194131097561,-7343.033,1.2630263132289,408.121135619116,0,69
23322.191,1902,56.2039957939012,12.2619300736067,-5792.5,1.17118539461287,427.930110091743,0,70
5720,1526,55.3735255570118,3.74836173001311,-10752.5,1.06383750453391,55.1059730250482,0,71
43677.22,2199,55.7526148249204,19.8623101409732,-10284.463,1.2460025698992,450.305547843216,0,72
10066.39,7631,53.5578561132224,1.31914427991089,-14041.486,1.02535064219672,73.5295320734408,0,73
-3486.073,2479,54.901169826543,-1.40624162968939,-14455.147,0.978242944072699,-24.8691738349525,0,74
45242,2245,55.902004454343,20.1523385300668,-6575.5,1.21994647427873,747.739856210231,0,75
35551.3,3814,54.6145778710016,9.32126376507603,-12861.779,1.12080366601764,287.881584017982,0,76
28158,1384,57.0809248554913,20.3453757225434,-13075.5,1.23736786202013,229.085140137493,0,77
17509.238,1614,55.2044609665428,10.8483506815366,-8920.135,1.13115206251361,224.183557347395,0,78
37387.5,1520,56.0526315789474,24.5970394736842,-6194.375,1.27504586396678,687.112336319779,0,79
21528.125,1667,55.7888422315537,12.9142921415717,-13408.75,1.14847878751304,169.063512319623,0,80
30603.218,2565,54.3469785575049,11.9310791423002,-7638.197,1.18818168642377,433.968226372596,0,81
7093.75,2151,54.2538354253835,3.29788470478847,-11192.5,1.04648819568458,64.7978990637132,0,82
18473.24,1235,56.5182186234818,14.9580890688259,-8895.356,1.17660661823293,228.407132866856,0,83
12852.681,2570,55.2918287937743,5.00104319066148,-12029.493,1.0583311445185,111.379366254481,0,84
25396.916,2007,55.8046836073742,12.654168410563,-8586.559,1.16554323684645,330.07141585341,0,85
-2647.625,1891,54.3098889476467,-1.4001189846642,-12498.5,0.979974340380432,-22.0066910481257,0,86
22371.111,1132,56.1837455830389,19.7624655477032,-7148.927,1.21479781270834,374.322500718239,0,87
25312.117,2328,54.8539518900344,10.8729024914089,-11685.921,1.1266975520221,234.056907226714,0,88
12487.172,1099,54.5040946314832,11.3623039126479,-5531.428,1.12079824376651,236.77175721777,0,89
53497.5,4758,55.1702395964691,11.2436948297604,-11665,1.15864625421655,470.61798988344,0,90
16854.75,6043,53.0034750951514,2.78913619063379,-16877.375,1.04910376291751,100.806674691049,0,91
13793.133,1827,55.1176792556103,7.54960755336617,-12683.549,1.0779648845996,117.552950092082,0,92
21439.307,1030,58.5436893203884,20.8148611650485,-7315.711,1.21801822249916,373.780393085327,0,93
11576.5,2593,54.3386039336676,4.46451986116467,-12890.5,1.04887083939302,92.6268202912466,0,94
2990.107,1878,54.3663471778488,1.5921762513312,-9691.681,1.02681403888356,31.6499111611376,0,95
22448,1637,55.5894929749542,13.7128894318876,-9596,1.14889792452955,248.497260198151,0,96
35853.75,3304,55.1452784503632,10.8516192493947,-11676.25,1.12056695852476,334.261741055821,0,97
9506.762,1417,54.6930134086097,6.70907692307692,-8612.019,1.08524776155582,114.056361833701,0,98
27035.625,3104,54.0914948453608,8.70993073453608,-6631.375,1.15103300331416,449.741115801293,0,99
16795,1353,55.2106430155211,12.4131559497413,-8082.5,1.13702374153545,225.891055817081,0,100
27709.531,1835,54.7138964577657,15.100561852861,-6860.885,1.21789557671177,483.135833035473,0,101
29426.107,2338,57.5278015397776,12.5860166809239,-8959.914,1.1799789349692,375.710001349568,0,102
10853.623,1663,55.6825015033073,6.52653217077571,-10090.355,1.06966702377124,110.017561456227,0,103
10212.791,2589,52.3754345307068,3.94468559289301,-7331.989,1.06193871402409,145.595652085277,0,104
24044.536,1984,55.0403225806452,12.1192217741935,-7097.141,1.15813380177181,370.078716161462,0,105
17331.25,1636,55.1344743276284,10.593673594132,-16507.5,1.1240638170316,107.364100975685,0,106
29465,1415,56.8197879858657,20.8233215547703,-6707.5,1.24131859131859,472.006407689227,0,107
32573,1652,54.6610169491525,19.7173123486683,-6282.5,1.24275599940379,602.088724584103,0,108
21688.5,1658,56.1519903498191,13.0811218335344,-11557,1.14056606219296,203.113879003559,0,109
15595,3114,54.3673731535003,5.00802825947335,-10815.25,1.07463990255413,161.769663649802,0,110
27500.418,3030,55.3795379537954,9.07604554455446,-15835.34,1.14020046526474,177.576715203564,0,111
40906.153,1935,56.7958656330749,21.140130749354,-8052.138,1.30171762066873,540.754931035695,0,112
25081.557,1519,55.1020408163265,16.5118874259381,-6910.176,1.18966914951462,400.972842330895,0,113
3939.07,1776,54.1666666666667,2.21794481981982,-10445.937,1.0296135198359,39.734655094898,0,114
647.891,1297,53.9707016191211,0.499530454895914,-14555,1.00633855704281,4.68298518250813,0,115
